name 0943+10
numpuls 2134
tay 2.8672
flux


0 -0.0028
1 -0.0022
2 0.0012
3 -0.0041
4 0.0017
5 -0.0013
6 -0.0038
7 -0.0036
8 -0.0015
9 -0.0053
10 0.0008
11 -0.0010
12 0.0067
13 -0.0003
14 0.0010
15 0.0045
16 0.0096
17 0.0113
18 0.0170
19 0.0267
20 0.0383
21 0.0545
22 0.0993
23 0.1866
24 0.3503
25 0.5684
26 0.7768
27 0.8928
28 1.0000
29 0.9288
30 0.7563
31 0.5938
32 0.4452
33 0.3525
34 0.3034
35 0.3068
36 0.3089
37 0.3271
38 0.3263
39 0.3048
40 0.2667
41 0.2192
42 0.1484
43 0.0976
44 0.0598
45 0.0460
46 0.0198
47 0.0211
48 0.0042
49 0.0081
50 -0.0008
51 0.0029
52 0.0044
53 0.0008
54 -0.0015
55 0.0008
56 -0.0000
57 -0.0015
58 0.0053
59 -0.0005
60 -0.0084
61 -0.0081
62 -0.0062
63 -0.0038
